	amplitude	pitch	FM	AM2	entropy	pitchgoodness	meanfreq	vpitch	vFM	ventropy	vpitchgoodness	vmeanfreq	vAM	negPC1	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	Subpop	Population	Template	Target
1	14.23814002	2.424123076	3.532156715	2.448853547	1.89860375	3.11032274	2.439924043	0.76161267	1.804690403	2.282226083	2.660202215	2.781320925	2.460296523	-2.878659428	2.878659428	-3.053738702	-1.002696719	-0.34936664	0.414976114	0.942359289	-0.385259702	0.456849501	0.087202731	-0.058136763	0.203422557	0.341404839	-0.020857508	ECU	Dom	filtered_ALP47.xls	filtered_ADP99.xls
2	7.710543348	4.586722532	2.802426564	2.273587176	1.658219483	2.708078139	4.997074826	0.7829842	1.818108033	3.221571453	2.210052912	1.129764642	2.229561234	-2.686974699	2.686974699	-1.32279728	0.11926265	-1.351575976	-0.499066724	-0.437615597	1.974357453	-0.284590228	-0.268682905	0.728016066	0.04173749	-0.340966774	-0.005785459	ECU	Dom	filtered_ALP49.xls	filtered_ADP99.xls
3	2.025240118	3.282754938	2.45403871	2.038198728	2.914036474	2.859644082	3.761155931	1.068458372	1.995975034	2.408929546	2.093519951	2.360901754	2.082955129	-2.117695305	2.117695305	0.448861519	0.718335636	-0.03710445	-0.513144511	-0.420374276	0.631713654	-0.555648622	0.3533666	-0.301300754	-0.053789015	-0.184475159	-0.025180125	ECU	Dom	filtered_ALP68.xls	filtered_ADP99.xls
4	5.881526924	3.613660171	4.525984639	3.464575693	2.40682152	4.337886469	2.568368687	0.924314667	2.188511105	2.588876131	3.421367662	1.946902221	3.874507129	-4.097026789	4.097026789	-0.202230195	0.370328156	-0.65054715	1.764611514	0.471814121	0.502595932	0.284027462	-0.193834107	0.241672949	0.416090759	0.209414402	-0.286426642	ECU	Dom	filtered_ALP74.xls	filtered_ADP99.xls
5	5.331000974	2.774537454	2.336192333	1.701096694	1.430199319	1.831404997	5.939421297	0.59022401	2.286532178	2.9612221	2.40002861	1.999834514	1.831510334	-1.892869958	1.892869958	-0.682280146	0.469101231	-1.530104629	-1.609041417	-0.608013354	0.709253514	0.195658418	0.39387412	0.420819494	-0.38792993	0.503736105	-0.044240233	ECU	Dom	filtered_ALP75.xls	filtered_ADP99.xls
6	9.103764229	3.172171738	3.495512426	3.27457754	4.088681277	2.919936599	4.394120936	1.982635758	3.045630924	2.837260442	3.18571523	2.875945329	3.245250912	-5.095310932	5.095310932	-0.637396038	-0.246834965	0.411095094	-0.897794431	0.737824208	-0.269314479	-0.647774732	-0.531521538	0.497590751	0.039535708	0.278639865	0.030707388	ECU	Dom	filtered_ALP85.xls	filtered_ADP99.xls
7	9.26743489	3.623606476	4.678674869	3.764459447	2.359998221	6.118889532	6.538718819	1.295261851	2.384915009	2.239867135	4.10061652	2.287224423	3.737298061	-5.872495409	5.872495409	-1.534169474	1.852439565	-1.630550833	0.552854608	0.298605002	-0.286614898	0.298572096	-0.74242693	0.409312656	0.409197549	-0.345328485	-0.008853871	ECU	Dom	filtered_ALP87.xls	filtered_ADP99.xls
8	2.265648924	1.948553179	2.349760551	2.467951961	2.617038615	2.002680369	3.009572649	0.887786099	2.16805318	2.459826554	1.879734693	1.346150387	2.43936359	-1.250250524	1.250250524	0.874081415	0.042887839	-0.155298184	-0.358952118	-0.021147034	0.169416991	0.245478069	-0.231286827	0.4405356	-0.001392922	0.128216588	0.01730518	ECU	Dom	filtered_APU167.xls	filtered_ADP99.xls
9	7.851081511	2.297313455	2.690783	2.496789587	1.707867123	2.00396582	3.883149334	0.390667941	1.474799063	2.076835967	1.956124743	0.646771906	2.417642591	-1.065153903	1.065153903	-1.242627439	-0.175854315	-1.087204424	0.036390811	-0.299383975	0.321275868	0.542294134	-0.809917434	0.982444926	0.197994472	0.177724604	0.011413612	ECU	Dom	filtered_APU170.xls	filtered_ADP99.xls
10	4.707524731	2.230504768	2.144734005	2.565000265	1.65965235	1.412102974	3.799338166	0.697899766	1.232273138	2.264606484	1.281487902	2.581354918	2.515199666	-1.084271887	1.084271887	-0.192233523	-0.644800838	-1.050514941	-0.59366781	-0.526952319	-0.184085529	-0.415940159	-0.214596027	-0.55517001	0.130616578	0.231178817	0.008171014	ECU	Dom	filtered_ALP49.xls	filtered_ALP47.xls
11	14.7175324	4.415641239	2.986792971	2.532770307	5.051333139	2.857006011	3.919785765	0.578787139	1.594538565	2.632037815	1.639726668	4.179669983	2.288137462	-4.047372516	4.047372516	-3.423452233	-1.640234008	0.577157392	-0.312024309	-1.527602619	0.110782114	-0.411269322	0.408713322	-0.720995071	0.077920735	-0.438319697	0.053327018	ECU	Dom	filtered_ALP68.xls	filtered_ALP47.xls
12	9.350291045	3.071467492	3.880955611	3.296445848	3.31249846	4.117735373	4.385874256	1.955885354	3.106664324	3.890834126	3.156590555	4.094778075	3.474713604	-5.970533392	5.970533392	-0.624435781	-0.456456032	-0.163860233	-0.93463112	1.163296406	-0.209857059	-0.083976241	0.14217043	-0.673487482	0.064405513	0.02488969	-0.091356729	ECU	Dom	filtered_ALP74.xls	filtered_ALP47.xls
13	7.138775934	2.685713118	3.534595867	2.696783322	2.153516416	2.413747186	4.11616796	0.88866865	2.038173678	3.052980696	2.011978211	3.353409567	2.607268248	-3.063448411	3.063448411	-0.744983818	-0.607345676	-0.855127658	-0.608808267	-0.125153562	0.037637224	0.094520193	0.33634515	-0.679748307	0.413983019	0.526906574	0.071463229	ECU	Dom	filtered_ALP75.xls	filtered_ALP47.xls
14	7.929375118	4.109308488	4.435057055	4.476672102	6.836011258	5.213897911	4.701048477	2.302650768	4.331283484	4.145480876	3.911131143	4.141156907	4.307937428	-8.498085022	8.498085022	0.464286008	-0.162049887	1.270552606	-0.501206844	0.325684479	-0.266265651	-0.067697953	-0.032974701	0.101208665	-0.125237886	-0.424354016	0.079485738	ECU	Dom	filtered_ALP85.xls	filtered_ALP47.xls
