	logamplitude	logpitch	logFM	logAM2	logentropy	logpitchgoodness	logmeanfreq	logvpitch	logvFM	logventropy	logvpitchgoodness	vmeanfreq	PC1	PC1neg	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	Population	Domesticated	Template	Target
123	1.040280522	0.53408567	0.607200405	0.566856766	0.541771259	0.57470895	0.600527088	0.383431568	0.511307147	0.452809732	0.58728677	0.510938455	2.233652178	-2.233652178	-1.146839874	0.111977145	0.087115015	0.289362042	-0.018238197	-0.091378301	-0.042863221	0.00131742	-0.00077126	0.164045816	-0.105245373	ECU	Domesticated	filtered_NewRunDP99_tclust	filtered_NewRunLP47_tclust
124	0.943198148	0.682153973	0.718913202	0.676470828	0.593651128	0.693939427	0.704502046	0.541654776	0.607942759	0.609911681	0.632432996	0.559216038	3.200795537	-3.200795537	-0.565864968	0.093485519	0.177029364	0.184171809	0.17122962	-0.254654644	-0.00936599	0.157361918	0.074140874	0.050007067	0.01596648	ECU	Domesticated	filtered_NewRunDP99_tclust	filtered_NewRunLP49_tclust
125	0.900068002	0.766253789	0.94859181	0.772910125	0.723735377	0.891436981	0.722800337	0.546688291	0.728421019	0.64159458	0.725562863	0.613970187	4.170197976	-4.170197976	-0.270755439	-0.404319798	-0.202019978	0.173303601	0.257095028	-0.141185633	0.239067401	0.14970579	0.377118478	-0.036618665	0.120521138	ECU	Domesticated	filtered_NewRunDP99_tclust	filtered_NewRunLP74_tclust
126	1.061214141	0.72279853	0.772344487	0.78962575	0.745782845	0.774551181	0.762509139	0.669836929	0.75578231	0.693907753	0.74925181	0.665776104	4.264596093	-4.264596093	-0.684441435	0.192912185	0.09090083	0.270537413	-0.018971713	-0.10775507	0.09437037	0.146372656	-0.054397147	0.158932998	0.016507519	ECU	Domesticated	filtered_NewRunDP99_tclust	filtered_NewRunLP85_tclust
127	0.951373706	0.91116916	0.825727935	0.694114951	0.557818545	0.939009303	0.854500737	0.142053909	0.538001844	0.540160337	0.771814777	0.467629485	3.54819518	-3.54819518	-0.720908685	-1.209540412	0.159121155	-0.344246444	1.020435265	-0.1744832	-0.137747943	0.253030455	-0.124957625	-0.007249073	0.119209472	ECU	Domesticated	filtered_NewRunDP99_tclust	filtered_NewRunLP87_tclust
128	0.611116348	0.523696916	0.633361172	0.618049335	0.687376308	0.604745394	0.549758812	0.438300917	0.624120001	0.587192336	0.603854661	0.472173928	2.311877082	-2.311877082	0.364129695	0.062370737	-0.257105376	0.246869267	-0.285272026	0.07182135	0.107348432	0.145559003	-0.046068378	0.052214388	-0.120251217	ECU	Domesticated	filtered_NewRunDP99_tclust	filtered_NewRunPU167_tclust
129	0.979389247	0.746541055	0.895627114	0.699390424	0.633438807	0.838070121	0.797105272	0.500385583	0.719338513	0.594746843	0.725671694	0.501823004	3.841807953	-3.841807953	-0.604154763	-0.529176327	0.155785455	0.22238164	0.31404105	-0.161659107	0.06388913	0.426212809	0.323003413	0.0789176	0.028563205	ECU	Domesticated	filtered_NewRunDP99_tclust	filtered_NewRunPU170_tclust
130	0.612159625	0.648078645	0.789555352	0.538090285	0.589941023	0.762433849	0.633619053	0.414113143	0.616119012	0.459764907	0.670547141	0.594773849	2.685889969	-2.685889969	0.306617172	-0.548370473	-0.078747453	0.347195047	0.218523791	-0.058141607	-0.115479644	-0.276700392	0.424098509	0.091921458	-0.068747481	ECU	Domesticated	filtered_NewRunDP99_tclust	filtered_SameEarlierALP68_tclust
131	0.876617205	0.651958505	0.704441901	0.601785337	0.529995017	0.729895655	0.734913758	0.463664176	0.609480022	0.556142001	0.779158793	0.542765297	3.049909862	-3.049909862	-0.450489495	-0.38574709	0.250348805	0.407556727	0.193098187	-0.290368169	-0.236318381	0.057570758	-0.065992493	0.093025264	-0.202361296	ECU	Domesticated	filtered_NewRunDP99_tclust	filtered_SameEarlierALP75_tclust
132	0.982955213	0.394198695	0.603663907	0.572092878	0.288043153	0.544651853	0.419044253	-0.03484254	0.253241282	0.455008927	0.43244639	0.530245509	0.98045789	-0.98045789	-1.417700123	-0.268220441	-0.313765711	-0.294068645	-0.11344818	-0.768610977	0.110071964	-0.403798542	0.005933119	-0.292650463	0.02236637	ECU	Domesticated	filtered_NewRunLP47_tclust	filtered_NewRunDP99_tclust
