	logamplitude	logpitch	logFM	logAM2	logentropy	logpitchgoodness	logmeanfreq	logvpitch	logvFM	logventropy	logvpitchgoodness	vmeanfreq	PC1	PC1neg	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	Population	Template	Target
33	0.073133588	-0.040074362	-0.051120008	-0.050100428	-0.146261733	0.177602913	0.024733961	-0.284088486	-0.109425872	-0.125587734	0.150178175	-0.135328437	-4.417243981	4.417243981	0.473394605	-0.476749681	-0.137870169	0.839022474	-0.017882629	-0.488155242	-0.490377943	-0.190365574	-0.346253636	0.096300897	0.000141767	Timor	filtered_BL65_tclust	filtered_BR82_tclust
34	0.352841379	-0.155320945	-0.047253922	0.030846126	-0.039002118	0.085816555	-0.011129903	-0.64387209	-0.304506387	-0.322993393	-0.148207562	-0.118902152	-5.077701582	5.077701582	-0.738862275	-0.420206797	-0.22702044	0.079462964	-0.138349957	0.051744687	0.222664416	-0.454790713	-0.216991501	-0.021225932	0.322964382	Timor	filtered_BL65_tclust	filtered_DP51LP79_tclust
35	0.705897018	-0.162427337	-0.105720852	0.011761642	-0.120907295	-0.159738765	-0.04645246	-0.354532387	-0.285206448	-0.219203901	-0.022114162	-0.170002213	-4.862671984	4.862671984	-1.706167918	0.485751578	-0.07643983	0.543224965	-0.231986166	-0.296737858	-0.015686852	-0.015933629	-0.358955631	0.107091111	-0.303614806	Timor	filtered_BL65_tclust	filtered_DP77_tclust
36	0.313413301	0.038419185	0.009035896	0.067842257	0.059294688	0.158317121	0.196801127	-0.211855231	-0.149716369	-0.117701445	0.101511814	-0.11162165	-3.623914444	3.623914444	-0.137659326	-0.172026535	0.216656777	0.541093907	0.127743538	0.050033722	-0.143141252	-0.033144785	-0.37164395	-0.050483608	0.046640683	Timor	filtered_BL65_tclust	filtered_WH10_tclust
37	0.861374721	0.026434288	0.209140937	0.26589591	-0.014584625	0.272205872	0.078372731	-0.429291488	-0.190472252	-0.052167806	0.484285275	-0.188618526	-2.743943424	2.743943424	-1.931448011	-0.841799477	-0.636968364	0.733853188	0.224614949	-0.521592175	0.170778269	0.29134938	-0.801504343	-0.298083673	-0.440603666	Timor	filtered_BL65_tclust	filtered_WH18_tclust
38	0.720969622	-0.004028417	0.186646041	0.112637125	0.025172389	0.123967479	0.023485971	-0.288762409	-0.15523413	-0.052993182	0.275076353	-0.142094942	-3.239236826	3.239236826	-1.456586757	-0.223775021	-0.534497712	0.706146994	0.004157777	-0.292188843	-0.048438331	0.20473652	-0.248778309	-0.197464528	-0.420323408	Timor	filtered_BL65_tclust	filtered_YE182_tclust
39	0.177869816	0.20952208	0.281815487	0.214625434	0.090402617	0.184127341	0.203614593	-0.313091158	-0.049274771	0.030953056	0.007501149	-0.009240376	-2.928652472	2.928652472	0.422325237	-0.343761251	-0.089586272	-0.250757807	0.279458572	-0.25320033	0.21604492	-0.017381774	0.209888023	-0.151455805	0.013671017	Timor	filtered_BL65_tclust	filtered_YE188_tclust
40	0.235899202	0.221175499	0.175089292	0.173245205	0.195437968	0.147813076	0.297255981	-0.10602502	-0.02659641	-0.013478673	0.135574535	0.15100563	-2.480268815	2.480268815	0.368208559	0.0224354	0.276125618	0.117183231	0.225548117	0.09602078	-0.026663525	-0.419582722	-0.046970024	0.022692289	-0.190667531	Timor	filtered_BL65_tclust	filtered_YE189_tclust
41	0.295905692	0.111622592	0.188477497	0.197410279	0.258877821	0.305032573	0.13590754	-0.330860551	-0.176452749	0.089567874	0.184842499	0.005234581	-2.737150741	2.737150741	0.052662137	-0.395229162	-0.522469521	0.087196806	0.079778596	0.167061995	0.009246243	-0.179579038	-0.399219246	-0.564137327	0.059242186	Timor	filtered_BL65_tclust	filtered_YE41_tclust
42	0.338975688	0.333499281	0.312311968	0.308126902	0.263286046	0.395708336	0.291353246	0.252168867	0.241651367	0.314197067	0.336135915	0.240068056	-0.711591663	0.711591663	0.569808955	0.195703058	-0.135086256	0.538743097	0.033732177	-0.38612866	-0.273045161	-0.074342849	-0.06562436	-0.025513906	0.030589306	Timor	filtered_BR82_tclust	filtered_BL65_tclust
