	logamplitude	logpitch	logFM	logAM2	logentropy	logpitchgoodness	logmeanfreq	logvpitch	logvFM	logventropy	logvpitchgoodness	vmeanfreq	PC1	PC1neg	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	batch	Population	batchpop	Template	Target
1	0.593245833	0.712936817	0.611013238	0.624883752	0.61653262	0.720600489	0.621161424	0.550653015	0.517116919	0.492002487	0.606968336	0.470730157	2.488778288	-2.488778288	0.448206523	0.013571598	0.02904165	0.382012472	0.525251821	-0.017013231	0.017561371	0.026370538	-0.085098328	0.050756508	0.156829977	UIUC	TGC	UIUC-TGC	filtered_tgc1_tclust	filtered_tgc3_tclust
2	0.651622029	0.720752784	0.725487706	0.718973463	0.72393623	0.665411045	0.691266764	0.648741715	0.62687264	0.675991041	0.551902854	0.546178443	3.208272252	-3.208272252	0.479424412	0.367964246	0.101140503	0.057129392	0.165211549	-0.017061876	0.183535506	0.218787594	0.144124951	-0.066950797	0.07356181	UIUC	TGC	UIUC-TGC	filtered_tgc1_tclust	filtered_tgc4_tclust
3	0.477800132	0.497271004	0.448244984	0.615267403	0.455808964	0.594446908	0.447153944	0.484293695	0.433374413	0.541692409	0.463334144	0.407642367	1.313764554	-1.313764554	0.612246232	0.347854344	-0.136748657	0.386903871	0.014301776	-0.478056647	0.09377774	0.019950269	-0.297163898	-0.072221191	0.273120089	UIUC	TGC	UIUC-TGC	filtered_tgc1_tclust	filtered_tgc5_tclust
4	0.293734138	0.178783844	0.230235356	0.398025673	0.246957939	0.330079605	0.406967694	0.012866829	0.018905455	-0.023927413	0.171037419	-0.173503269	-2.006094584	2.006094584	0.309078979	-0.344792079	0.430600447	0.502335906	0.33251866	0.145378352	0.694448273	0.525925942	-0.373628051	-0.157348505	0.257708144	UIUC	TGC	UIUC-TGC	filtered_tgc3_tclust	filtered_tgc1_tclust
5	0.47827255	0.421264273	0.373473055	0.446847189	0.360561828	0.585360253	0.490931591	0.328196172	0.468350874	0.471631139	0.520960789	0.306105886	0.758063583	-0.758063583	0.454380852	-0.131172377	0.073121264	0.518417393	-0.117098258	-0.409322114	-0.339680757	0.163087665	-0.368694593	0.12900259	0.143349926	UIUC	TGC	UIUC-TGC	filtered_tgc3_tclust	filtered_tgc4_tclust
6	0.512359773	0.234744777	0.265403096	0.360021241	0.226795907	0.257100383	0.346076429	0.113433084	0.222775522	0.23363882	0.25331653	0.111105495	-1.146612449	1.146612449	-0.124111292	0.21048308	0.160318392	0.324725703	-0.148882277	-0.316484967	0.085291678	0.257471731	-0.194783187	0.107225702	-0.065045361	UIUC	TGC	UIUC-TGC	filtered_tgc3_tclust	filtered_tgc5_tclust
7	0.651318133	0.71288805	0.585346486	0.756815814	0.549161699	0.508790837	0.631566062	0.630415736	0.400766366	0.572237679	0.410181222	0.300896806	2.089070305	-2.089070305	0.260030208	0.699531562	0.318428043	0.051307372	0.629212267	-0.290217924	0.504996642	0.610747722	-0.11390796	-0.169125872	0.115754153	UIUC	TGC	UIUC-TGC	filtered_tgc4_tclust	filtered_tgc1_tclust
8	0.882262645	0.89418761	0.680667365	0.66353545	0.747705993	0.876062638	0.850573271	0.806908088	0.743646624	0.813742634	0.739021921	0.552216538	4.329836686	-4.329836686	0.053633022	0.244421616	0.347788108	0.324783163	0.449891949	-0.006152809	-0.564894942	0.519937442	-0.165975586	0.06996365	0.28397271	UIUC	TGC	UIUC-TGC	filtered_tgc4_tclust	filtered_tgc3_tclust
9	0.345343442	0.478000565	0.379397532	0.381707947	0.477276153	0.431180738	0.436604533	0.394885732	0.287407503	0.303688977	0.323343969	0.089314756	-0.061281123	0.061281123	0.771094688	0.281920385	0.09045647	0.509778762	0.419144031	0.229588549	0.001877479	0.496971894	-0.032362613	-0.027707793	0.115258052	UIUC	TGC	UIUC-TGC	filtered_tgc4_tclust	filtered_tgc5_tclust
10	0.445600883	0.569059527	0.611518056	0.745344552	0.510068028	0.689870159	0.575156601	0.561940458	0.327538119	0.328587116	0.418074707	0.365582346	1.63239156	-1.63239156	0.671126831	0.040379033	0.208979439	0.491822517	0.601688662	-0.2124264	0.822766713	-0.033106749	-0.003397672	-0.265687154	0.471960869	UIUC	TGC	UIUC-TGC	filtered_tgc5_tclust	filtered_tgc1_tclust
11	0.835902666	0.718071897	0.708244826	0.684381129	0.570379623	0.745713772	0.715639897	0.703761675	0.679425598	0.578424778	0.565355674	0.490719472	3.212726171	-3.212726171	-0.130844881	0.196084669	0.313690599	0.424189854	0.305600456	-0.308306124	0.054207306	0.359992767	0.217853305	0.20190169	0.300788058	UIUC	TGC	UIUC-TGC	filtered_tgc5_tclust	filtered_tgc3_tclust
12	0.294762989	0.589223057	0.457292475	0.396428398	0.481877551	0.503562458	0.372704401	0.466035786	0.40509397	0.280220249	0.525195043	0.282314642	0.591364021	-0.591364021	1.044370798	0.124218919	-0.266632042	0.757012991	0.582076575	0.040478185	-0.134805682	0.002882068	0.042790079	0.256655767	-0.148741592	UIUC	TGC	UIUC-TGC	filtered_tgc5_tclust	filtered_tgc4_tclust
13	0.049570555	0.031459454	0.133965711	0.163495724	-0.035625662	-0.145627648	0.366570782	0.140907423	-0.208188102	-0.278562987	-0.228369024	-0.169416606	-4.103376974	4.103376974	0.679675421	0.579772696	1.344971035	0.507766334	0.364550414	-0.070474032	0.77870632	0.137016116	0.482735386	-0.099196746	-0.107745536	UIUC	TGG	UIUC-TGG	filtered_tgg1_tclust	filtered_tgg2_tclust
14	0.437249051	0.043452163	0.088253188	0.157600554	0.237626396	-0.0399077	0.400035511	0.236844436	-0.069361925	0.049373607	-0.129333363	-0.073945051	-2.817486113	2.817486113	-0.15948172	1.049643222	1.01691499	0.403155829	-0.209548048	0.351810045	0.181270075	0.430771015	0.111312559	-0.223088228	0.055498515	UIUC	TGG	UIUC-TGG	filtered_tgg1_tclust	filtered_tgg3_tclust
15	0.79711532	0.214610611	0.331675672	0.33332424	0.17350935	0.135460153	0.731617681	0.217767432	0.125414668	0.086853188	0.062636281	0.023567475	-1.068404825	1.068404825	-1.091357616	0.316826679	1.645422689	0.17965772	0.049876421	-0.007700056	0.32477279	0.627349485	0.231119518	-0.008318244	-0.029509163	UIUC	TGG	UIUC-TGG	filtered_tgg1_tclust	filtered_tgg4_tclust
