logamplitude	logpitch	logFM	logAM2	logentropy	logpitchgoodness	logmeanfreq	logvpitch	logvFM	logventropy	logvpitchgoodness	vmeanfreq	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	Population	Stage	Tutor 	Target File
0.432322339	0.399000478	0.549968705	0.557479773	0.4896169	0.669449777	0.622763457	-0.052702244	0.326056879	0.130430454	0.232333033	0.07584612	1.267527173	-0.946842833	0.798842162	0.465556876	-0.949865058	0.223013348	0.314082043	0.299105231	-0.627435956	0.167728516	0.26707427	Aus	egg	B_LP80	filtered_BfAPU180.xls
0.720827588	0.517293965	0.278890903	0.054527877	0.742453876	0.490066373	0.697700538	-0.397314887	0.212307781	0.142988884	0.232496406	0.141960668	0.66271246	-1.255154724	-1.217525386	0.26900515	0.794312244	0.00671271	0.515483187	-0.189316665	0.021641324	0.185438513	0.291645554	Aus	P30	B_LP80	filtered_BfATE103.xls
0.469406369	0.273619149	0.524195274	0.309284196	0.65701453	0.275724256	0.356343472	-0.240419432	0.126080288	0.072759347	-0.156630434	-0.050282957	-0.566049222	-0.733016824	-0.006290666	0.670650759	0.174765634	0.27580337	-0.919242288	0.878673267	0.218392674	-0.239190033	0.222218752	Aus	egg	B_LP80	filtered_BfAWH19.xls
0.632871069	0.322235191	0.336639097	0.095713045	0.447005054	0.419635544	0.671344983	-0.594371855	0.190893177	0.029623682	-0.103045736	-0.08742939	-0.893771244	-1.512915369	-0.325906811	0.405659973	-0.363467998	0.093114743	-0.064325243	-0.606667112	0.218404511	0.049422347	0.109909725	Aus	egg	B_LP80	filtered_BfAYE180.xls
0.967400645	0.922892399	0.585068182	0.629310805	0.860739812	0.724963295	0.503754808	0.287622871	0.761038685	0.931986951	0.368392149	0.431762905	4.553148346	0.714399199	0.788021862	0.19632111	1.260855053	0.231991562	-0.25692107	-0.557505594	-0.126841463	-0.010637883	-0.034169257	Aus	P30	B_DB10	filtered_BfAPU187.xls
1.078317814	0.740943278	0.562630484	0.475343472	0.636199032	0.754082892	0.673323395	0.07548061	0.457583912	0.377381565	0.177481139	0.411020909	2.742477912	-0.538408926	0.404727217	0.206636895	-0.153395059	-0.19947779	0.349241139	-0.275653269	0.070062327	-0.43473601	-0.045160984	Aus	P30	B_DB10	filtered_BfATE107.xls
0.282596793	0.727711787	0.526520558	0.270843876	0.867802476	0.762789528	0.12824921	-0.323431659	-0.094307227	0.569145802	0.368558332	0.413265798	2.217932562	1.205845269	-1.561256298	-0.581456319	0.403806919	-0.478764999	0.137710509	0.590951333	-0.367726372	0.084143639	-0.173000121	Aus	P30	B_BR90	filtered_BfAPU188.xls
0.252326958	0.55450914	0.100973522	0.032697614	0.457996973	0.222756193	0.061560919	-0.094656947	-0.063157424	0.239690953	0.089387867	-0.003341448	-0.932191051	-0.526713932	-0.278171796	-1.766075096	0.988752409	-0.226356727	-0.384450305	0.066360123	-0.131544591	0.034606363	0.074586476	Aus	P30	B_PU81	filtered_BfADP56.xls
0.238147935	0.561635465	0.223543085	0.298341463	0.129184702	0.25803388	0.041679458	-0.478166693	-0.128975719	0.117782009	-0.067892092	-0.077037858	-1.662155518	-0.19939626	1.031133122	-1.824524323	-0.61752431	-0.56845336	-0.139075434	-0.14452007	0.33506872	0.242466664	0.0473692	Aus	P30	B_PU81	filtered_BfAPU155.xls
0.409452565	0.34373564	0.135382979	0.058828323	0.398317111	0.394815526	-0.064397516	-0.489538636	0.305817189	-0.071568106	0.009444225	-0.210334176	-1.590545993	-0.608610366	-0.018523243	-1.038071661	0.097786242	1.382394375	0.290649866	-0.105908625	-0.133704919	-0.265684161	-0.129660268	Aus	P30	B_YE177	filtered_BfATE105.xls
0.64172878	0.096010515	0.293904488	0.114289893	0.541904261	0.366857493	0.734309543	-0.546910063	0.134243158	0.024842968	-0.129646603	0.086790396	-1.064849382	-1.888369776	-0.56733523	0.989846206	-0.143697931	0.062720047	-0.364429678	-0.023223733	-0.060642439	0.304420226	-0.463876781	Timor	egg	B_LP80	filtered_BfTTE114.xls
0.734560806	0.721790941	0.720137473	0.660033663	0.480890114	0.783300728	0.293063248	-0.170910434	0.296952837	0.354635343	0.26056033	0.410275554	2.415348082	0.457933272	0.893179244	-0.441685537	-1.187344806	-0.062015706	0.369703722	0.339558811	0.110148838	0.004752059	-0.098279382	Timor	P30	B_DB10	filtered_BfTDB51.xls
0.181785724	0.316118932	0.464659615	-0.090598848	0.640072513	0.662213024	-0.225906053	-1.617242081	-0.258834689	0.128218477	-0.142692263	-0.415115656	-2.095928069	1.612597912	-2.404101426	-0.026804997	-0.881259091	0.7481302	-0.004867876	-0.195615989	0.111477452	-0.088695735	0.029271498	Timor	P30	B_BR90	filtered_BfTDB47.xls
0.74367367	0.898749111	0.923470377	0.487202125	0.828622728	0.86605808	0.754345261	0.102513033	0.39397563	0.655476118	0.405378901	0.832279948	4.766799815	-0.015936321	-0.502132892	0.250266469	-0.243116116	-0.599913022	-0.011227308	0.113192951	0.475071699	-0.028402637	-0.05323368	Timor	P30	B_BR90	filtered_BfTYE40.xls
-0.067304719	0.311072767	0.146500921	0.43336315	0.34461944	0.373302085	0.204888381	-0.679782612	-0.162635732	0.209138113	-0.413130016	-0.467627031	-2.289677673	0.364991928	0.926413928	0.21439835	-0.412522967	-0.651939782	-0.517357893	-0.351631312	-0.425389418	-0.236065341	-0.083987955	Timor	P30	B_PU81	filtered_BfTYE33.xls
0.232120777	0.215054681	-0.389281332	0.39976429	0.446206609	0.009864011	0.084133174	-1.27656317	-0.22421067	-0.342320474	-0.530660939	-0.617212218	-4.80104314	-0.033056212	0.938181125	0.614965927	0.979679087	-0.401541354	0.834451566	0.437046792	0.209503684	-0.091945268	-0.109968188	Timor	egg	B_YE177	filtered_BfTBR186.xls
