	logamplitude	logpitch	logFM	logAM2	logentropy	logpitchgoodness	logmeanfreq	logvpitch	logvFM	logventropy	logvpitchgoodness	vmeanfreq	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	Population	Template	Target
1	-0.157227649	0.085345691	-0.150112419	-0.115066162	-0.245913761	-0.074177665	-0.306430468	-1.286524611	-0.516359056	-0.111196407	-0.511242659	-0.106136504	-5.69913654	0.60622668	-0.59840136	1.520346335	0.702712292	0.559509746	0.357292569	0.401725936	0.081247881	0.090202868	-0.115598501	-0.077400709	Timor	filtered_BfTDB51.xls	filtered_BfTDB47.xls
2	0.32436487	0.027883507	0.320380277	-0.163551534	-0.059585806	0.34759215	-0.186021882	-0.845597581	-0.228088176	-0.013121525	-0.090682049	-0.392431058	-3.149443771	1.506762303	1.398053639	-1.283637112	-0.473526536	0.458534583	0.10859945	-0.214157891	-0.01107389	-0.131200527	-0.246063404	0.144796658	Timor	filtered_BfTTE114.xls	filtered_BfTDB47.xls
3	0.38187067	0.07409523	0.116881187	0.317778241	0.08530715	0.09792739	0.018751647	-0.280757889	-0.106281236	-0.071987531	-0.137214979	-0.008995078	-1.661131815	-1.113888249	-0.178296057	-0.673955012	-0.259030445	0.515514971	0.597570524	-0.045652638	0.583207134	-0.000899919	0.246115315	-0.110938121	Timor	filtered_BfTYE33.xls	filtered_BfTDB47.xls
4	0.149543741	0.106443508	0.107613791	-0.288912756	-0.164051374	-0.091854304	-0.016784938	-0.79850925	-0.210883849	-0.00938228	-0.258872229	-0.274003939	-4.000208457	0.482535111	0.706194022	0.438613954	-0.64817742	-0.566735472	0.190660232	-0.446562033	-0.203875375	-0.316973944	0.065724252	-0.132785108	Timor	filtered_BfTYE50.xls	filtered_BfTDB47.xls
5	0.350859311	0.123883222	0.565430201	0.199946915	0.029179014	0.387532848	0.21679067	-0.639332346	-0.062618732	0.039906187	-0.084555896	0.314782256	-0.33100466	0.456190742	-1.238398003	-1.433146973	1.176436535	-0.736224579	-0.282406122	0.100630655	0.053952294	-0.020615041	-0.228783918	-0.074789863	Timor	filtered_BfTTE114.xls	filtered_BfTDB51.xls
6	0.257609377	0.254025485	0.30803186	0.591077973	0.01073196	0.086936387	0.336246207	-0.213488865	0.091074321	0.043630639	-0.099559056	0.183235761	-0.104595954	-1.350815634	-1.424027022	-0.105101253	0.159168798	0.341275332	-0.275323655	-0.627783037	0.174536671	-0.385692569	-0.054660301	-0.011416805	Timor	filtered_BfTYE33.xls	filtered_BfTDB51.xls
7	0.127079615	0.22982783	0.159430866	0.095222579	-0.020251335	0.029929525	0.266929492	-0.425199123	0.100660394	0.094470679	-0.145702901	0.113102469	-1.398199197	-0.517791622	-0.767967496	0.758865068	-0.176277498	-0.532639903	-0.116594342	-0.077558417	-0.39180185	-0.064128341	0.24551235	-0.112126619	Timor	filtered_BfTYE50.xls	filtered_BfTDB51.xls
8	0.010947578	0.06862699	0.26840964	0.179126043	0.08781819	0.354168427	0.105184333	-0.329688958	-0.021644931	0.060892763	-0.149622649	0.044604782	-1.383645882	0.468543495	-1.236658155	-0.082397343	-0.625224259	0.471331755	-0.285117618	0.621596492	-0.164593541	0.101300845	0.095884357	0.188936392	Timor	filtered_BfTYE33.xls	filtered_BfTTE114.xls
9	0.383264757	-0.050574837	0.16044229	-0.126746673	-0.260516364	0.205182122	-0.08466089	-0.650460585	-0.131260897	-0.20526857	-0.331740194	-0.06745374	-3.326842404	-0.257784256	0.458341194	-1.315762581	0.222511201	-0.333093076	-0.035656185	0.358409235	-0.287125801	-0.013018597	0.434534447	0.060017185	Timor	filtered_BfTYE50.xls	filtered_BfTTE114.xls
10	0.357706645	-0.022913986	-0.168353055	0.174531867	-0.28169645	-0.095056467	0.176037979	-0.770513437	-0.022714344	-0.127138888	-0.483441866	-0.146273576	-3.610100407	-2.065813183	0.668643421	0.218772228	0.046519688	0.018148683	-0.364055884	-0.138790913	0.006004223	0.288071984	-0.317198584	0.114911909	Timor	filtered_BfTYE50.xls	filtered_BfTYE33.xls
11	0.225199615	0.36161142	0.507516684	0.308781354	0.514972737	0.502841224	0.557961738	-0.026955901	0.259963388	0.256658842	0.452734766	0.126728525	2.214122725	0.790286728	-0.711622146	-0.100156164	-0.908945112	-0.089078976	-0.432763319	-0.250854072	0.357036484	0.474163567	0.298934869	-0.050868786	ECU	filtered_BfAPU187.xls	filtered_BfADP56.xls
12	0.366925968	0.485208543	0.352539586	0.265501341	0.512050018	0.230722827	0.338860974	-0.289197634	0.426878207	0.364290083	0.156568392	0.219443172	1.670813466	-0.135792441	-0.262289619	0.495217884	0.03053562	-0.540269812	0.904132642	-0.338642774	-0.269046912	0.403005534	-0.052639214	0.246971537	ECU	filtered_BfAPU188.xls	filtered_BfADP56.xls
13	0.248126945	0.387027666	0.335429249	0.233302498	0.338279538	0.399220074	0.5968854	-0.012696495	0.221858861	0.574019312	0.162734266	0.090893915	1.719658704	0.161059969	-0.136816708	0.727941402	-0.937176697	-0.457013818	-0.426058008	0.417350109	0.162352341	-0.387375603	-0.319756525	0.062657299	ECU	filtered_BfATE105.xls	filtered_BfADP56.xls
14	0.497540965	0.263932497	0.416229665	0.40435986	0.461067332	0.453923679	0.437138752	-0.074076876	0.403558779	0.463517046	0.323542388	0.178891737	2.438434222	-0.309375988	0.05161414	-0.597105824	-0.392151381	-0.145483257	0.259140164	0.190359642	0.004366928	0.334385929	-0.44369186	-0.218216838	ECU	filtered_BfAWH19.xls	filtered_BfADP56.xls
15	0.410960193	0.620653749	0.569335368	0.662847651	0.451039601	0.706420368	0.463202924	0.084830294	0.658286354	0.601019534	0.651061465	0.273675326	4.525733982	0.292204402	-0.307454886	-0.186672862	0.114863833	0.83323782	-0.106898893	-0.103053715	-0.640973287	-0.073204142	0.002487533	-0.108374731	ECU	filtered_BfAPU188.xls	filtered_BfAPU187.xls
16	0.464662004	0.566859623	0.441447761	0.401939503	0.505662395	0.525808499	0.329237225	-0.042818187	0.387351769	0.59966674	0.492957694	0.2095123	3.163826078	0.373997973	0.241345036	0.023294944	0.049334716	0.212123878	0.673105241	0.123157555	-0.061620126	-0.182468191	-0.010738144	-0.196500933	ECU	filtered_BfATE105.xls	filtered_BfAPU187.xls
17	0.630636	0.64777684	0.300885914	0.637467357	0.382775443	0.543755366	0.597774731	0.106541691	0.589705181	0.543147304	0.360926185	0.245594745	3.917865146	-1.246035373	0.603297314	0.09990997	0.333241019	0.280193365	-0.038575508	0.031032821	-0.046492385	-0.166265388	0.08407358	0.285211955	ECU	filtered_BfAWH19.xls	filtered_BfAPU187.xls
18	0.480230766	0.67755044	0.424363804	0.276740944	0.527407419	0.563522731	0.491497632	-0.146550104	0.241592415	0.588527427	0.397386953	0.259028194	3.148184517	0.598743255	0.361994318	0.364543244	0.448882805	-0.455519827	0.356762341	0.257491321	0.460016119	-0.242206624	0.139869176	0.13440658	ECU	filtered_BfATE105.xls	filtered_BfAPU188.xls
19	0.174338139	0.570958176	0.414946846	0.098726727	0.213275026	0.514949872	0.291953508	-0.871732374	-0.003325105	0.267789467	0.349698714	0.001258566	0.264023071	1.999532091	0.325568712	0.63464176	0.741773875	0.188773352	-0.513835028	-0.49465175	0.151899035	0.140291164	0.028450922	0.059772189	ECU	filtered_BfAWH19.xls	filtered_BfAPU188.xls
